"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"Taτiana Eva","@TianaaEva","2025-03-30T13:17:38.000Z","//
Warga yang kena PPN 12%..","0","0","1","25","[]","[]","https://x.com/TianaaEva/status/1906335005988557247","tweet_id:1906335005988557247","['@Honorertwetter']"
"Ruby","@theyeagergirl","2025-03-30T13:16:29.000Z","Lima ribu dipotong pajak ppn 12% mau?","1","0","0","39","[]","[]","https://x.com/theyeagergirl/status/1906334717827535096","tweet_id:1906334717827535096","['@rzleareinn']"
"opung ilman : wapres kopi","@opungilman","2025-03-30T07:50:13.000Z","mantap, gua mengenal BW sebenarnya waktu bahas tolak PPN 12% dan kasus gamma wkwkwkwk","0","0","6","607","[]","[]","https://x.com/opungilman/status/1906252608823558359","tweet_id:1906252608823558359","['@karimakayyim']"
"⚈̥̥̥̥̥́⚈̥̥̥̥̥̀⚈̥̥̥̥̥́⚈̥̥̥̥̥̀⚈̥̥̥̥̥́⚈̥̥̥̥̥̀⚈̥̥̥̥̥́","@_owh_gitu_ya_","2025-03-30T06:27:23.000Z","Iya gilakk

Listrik 
Pertamax
Minyak 
Beras
DanantaraPPN 12%
Coretax
MBG 
Efisiensi 
Lain-lainnya","0","0","2","741","[]","[]","https://x.com/_owh_gitu_ya_/status/1906231763661430801","tweet_id:1906231763661430801","['@convomf', '@hazelnutkyu', '@oceansskys']"
"nomnom","@orenjinimong1","2025-03-30T04:10:04.000Z","Dan tau sendiri di konoha ini, harus viral dulu baru ditanganin. Kita harus cerewet dulu, baru didengerin pemerintah. Terbukti dgn dibatalkannya PPN 12% (hanya berlaku buat barang mewah), pengangkatan ASN yang harusnya akhir tahun jadi dipercepat. Bayangin kalo kita diem aja??","0","0","0","59","[]","[]","https://x.com/orenjinimong1/status/1906197209269629412","tweet_id:1906197209269629412","['@orenjinimong1']"
"Radian Bimaputra","@radianbp","2025-03-30T01:27:53.000Z","Itu barang dibeli pake duit yang udah dipotong pajak, bayar tambahan PPN 12%*11/12, diajagain aturan blokir IMEI. Tetep aja dirampas. Kontol","0","0","0","395","[]","[]","https://x.com/radianbp/status/1906156393046106241","tweet_id:1906156393046106241","['@barengwarga']"
"REIN","@histoaria","2025-03-30T00:23:31.000Z","Lucu liat orang macam ni mikir kalo pajak sebatas pph21 padahal objek pajak itu banyak. Lu jajan di cafe ada tuh ppn 12%, dikira itu bukan pemasukan negara?","1","0","0","104","[]","[]","https://x.com/histoaria/status/1906140195210330612","tweet_id:1906140195210330612","[]"
"▓▒ ▓▓▓▓▓▒▒▒▒▓▓▒▓▒","@iM_BoTTT","2025-03-29T19:46:10.000Z","Ke toko kelontong tetanggamu kamu minta nota pembelian dari sales (apapun) sabun,minyak dll semuanya pakai pajak ppn 12%","0","0","0","42","[]","[]","https://x.com/iM_BoTTT/status/1906070399089246696","tweet_id:1906070399089246696","['@tham878']"
"Stelle Jeruk","@inershias","2025-03-29T16:12:37.000Z","Mau is, jangan lupa pake ppn 12% yach ","1","0","1","40","[]","[]","https://x.com/inershias/status/1906016654024229156","tweet_id:1906016654024229156","['@unhonourableson']"
"Kyoto","@paperringed","2025-03-29T15:20:14.000Z","Mending beli domino pija, 140k (udah plus ppn 12%) udah kenyang bego","1","0","0","108","[]","[]","https://x.com/paperringed/status/1906003474669801970","tweet_id:1906003474669801970","['@univrs__']"
"Amelia","@amelcewaw","2025-03-29T12:35:24.000Z","Masih percaya???
Kenaikan ppn 12% hanya barang mewah, kalau ada kenaikan minta balik ke penjualnya , nyuruh ribut dibawah. kenyataannya semua naik tak terkecuali.
Sekarang digadang gadang harga stabil, kaya rentenir aja, naikkin dulu dan setelahnya dibilang gkada kenaikan.","0","0","0","113","[]","[]","https://x.com/amelcewaw/status/1905961990486716813","tweet_id:1905961990486716813","['@Belangtiga', '@toe_giman']"
"Grok","@grok","2025-03-29T07:16:58.000Z","Contoh pajak buat yang nggak bayar pajak penghasilan: **Pajak Pertambahan Nilai (PPN)**. PPN 12% di 2025 ditambahin ke harga barang/jasa, kayak beli makanan di kafe atau naik transportasi. Jadi, meski penghasilan di bawah Rp 4,5 juta/bulan bebas pajak penghasilan (per UU HPP),","0","0","0","369","[]","[]","https://x.com/grok/status/1905881853417976036","tweet_id:1905881853417976036","['@tham878', '@_WirawanDeni_']"
"Ekal","@hzbarkan","2025-03-29T06:11:08.000Z","Ya paling laga2an ""playing hero"" move kayak waktu tarif PLN didiskon waktu awal2 rame ppn 12%","1","0","0","51","[]","[]","https://x.com/hzbarkan/status/1905865288643445137","tweet_id:1905865288643445137","['@hzbarkan', '@oatsugarhoney']"
"Rin Itsuka Saigo","@oldnewbuddy","2025-03-29T04:24:03.000Z","Ada bro lapangan kerja, lagi diusahain ini untuk tni sama polri, rakyat biasa? Ya nganggur lah ngapain dipikirin Listrik 2 bulan itu juga awalnya upaya biar kenaikan PPN 12% ga bikin ekonomi goyah, eh diprotes, PPN nya tetep 11% listriknya terlanjur diskon, malu ditarik.","1","0","3","752","[]","[]","https://x.com/oldnewbuddy/status/1905838339280019534","tweet_id:1905838339280019534","['@sahaetaanjink', '@RezaUnscripted', '@blueordinari']"
"fikri","@cilubatupakhaji","2025-03-29T00:45:40.000Z","yg jd pertanyaan di benak gw, aksi protes dari mulai ppn 12% sampai ruu tni/polri, sama terungkapnya kasus mega korupsi, ditanggapi mayoritas masyarakat seperti apa?","0","0","0","89","[]","[]","https://x.com/cilubatupakhaji/status/1905783380953993404","tweet_id:1905783380953993404","['@txtdrimedia']"
"kem","@kamle1n","2025-03-28T22:03:22.000Z","gw komen beginian baca berita dulu pliis. ga munafik. baca lgi dah twt gw. tu motor masuk barang mewah kli ahh","2","0","25","939","[]","[]","https://x.com/kamle1n/status/1905742537262088260","tweet_id:1905742537262088260","['@sourvive', '@qsxrsaz']"
"Bong Cloud","@BongCloud539123","2025-03-28T21:14:03.000Z","gimana caranya boikot bosku.
dengan hidup di dalam gua?
bosku bisa online itu saja paket internetnya sudah kena PPN 12%","0","0","0","32","[]","[]","https://x.com/BongCloud539123/status/1905730126383611993","tweet_id:1905730126383611993","['@PngAdilnR4kyt', '@Miko_nglad']"
"Carula PUSING UAS 𐙚⋆°｡⋆♡","@carulabloom","2025-03-28T17:10:05.000Z","Pas itu soal kenaikan PPN 12% gitu deh. Jujur aku kecewa bgt, berarti kalo gini beneran pemerintah yg bayar buzzer kan ya","0","0","0","81","[]","[]","https://x.com/carulabloom/status/1905668731721941190","tweet_id:1905668731721941190","['@carulabloom', '@jianwwbn']"
"Mataram Jurnal","@MataramJurnal","2025-03-28T14:40:43.000Z","Pemerintah Naikkan Tarif PPN Menjadi 12%, Transaksi Digital Tidak Kena Pajak","0","0","0","32","[]","[]","https://x.com/MataramJurnal/status/1905631140263964796","tweet_id:1905631140263964796","[]"
"txt","@txtdarilangitt","2025-03-28T13:47:21.000Z","Guysss, katanya ppn 12% batal? Kok ini ppn 12%? Mohon penjelasannya doonggg","0","0","0","316","[]","[]","https://x.com/txtdarilangitt/status/1905617708877840774","tweet_id:1905617708877840774","[]"
"Ghaziyah","@lenteqra","2025-03-27T23:22:10.000Z","jangan lupa ppn 12% wkwk","0","0","0","12","[]","[]","https://x.com/lenteqra/status/1905399978773942782","tweet_id:1905399978773942782","['@sexieyt']"
"pandhandutt","@pandhandutt","2025-03-27T21:29:56.000Z","ya jelas geng mulyono,melihat dinamika saat ini pasti ada tarik menarik antara kubu wowo sama wiwi,wowo ingin pemerintahannya bersih dr tangan wiwi secepatnya,wiwi ingin membuat perseden buruk wowo dengan isu ppn 12%,pertamax oplos,manuver bahil dll  liat apa 2 tahun ini","0","0","4","3K","[]","[]","https://x.com/pandhandutt/status/1905371735651938413","tweet_id:1905371735651938413","['@TOM5helby']"
"MindForgeAI","@Unknown31539924","2025-03-27T20:52:32.000Z","PPn 12% disahin tuh kalau ga demo, itu masyarakat berjuang karena pemerintahn bikin kebijakan aneh aneh, dipikir dulu kalau ngomong","0","0","0","55","[]","[]","https://x.com/Unknown31539924/status/1905362323277316131","tweet_id:1905362323277316131","['@prabowo', '@irmajuan242834', '@capricorn_mrvin']"
"raysha azzahra","@araysha03","2025-03-27T20:13:40.000Z","Malah jualan duitppn 12% pun kalah sama dia","0","0","1","188","[]","[]","https://x.com/araysha03/status/1905352541430571058","tweet_id:1905352541430571058","['@sosmedkeras']"
"GEREJA CATHOLIC","@GEREJA_CATHOLIC","2025-03-27T13:47:08.000Z","Kata  Indonesia Bubar Tahun 2030.

Rupiah Hancur, PPN 12%, ditambah Pajak 100% dari Amerika Serikat untuk Indonesia.

Komunis China adalah Setan Penghancur Nusantara.

Indonesia berteman dengan Komunis China hasilnya adalah Kebodohan dan Kemiskinan Selamanya.","0","0","2","359","[]","['@prabowo']","https://x.com/GEREJA_CATHOLIC/status/1905255268444995852","tweet_id:1905255268444995852","['@ARSIPAJA']"
"","@digorengena","2025-03-27T13:26:49.000Z","""Tapi kak, aku kan ga kerja, ga ada penghasilan, jadi ga bayar pajak""

Me: ""Adek belanja gak?""
""Iya""PPN 1̶2̶%̶ 11%#CabutUUTNI #TolakRUUPolri","0","0","3","182","['#CabutUUTNI', '#TolakRUUPolri']","[]","https://x.com/digorengena/status/1905250153843544260","tweet_id:1905250153843544260","[]"
"hungry win","@metawsss","2025-03-27T13:07:38.000Z","sebagai peserta aksi demo yang udah turun ke jalan 3 kali (putusan MK, PPN 12%, dan efisiensi), gue sebelumnya ngerasa demo masih relatif aman even untuk perempuan (di jam2 tertentu).

tapi semenjak UU TNI disahkan, man... tindakan aparat jauh, jauh, jauhhh lebih brutal...","1","0","0","73","[]","[]","https://x.com/metawsss/status/1905245327646470227","tweet_id:1905245327646470227","[]"
"masigui","@masi_gui","2025-03-27T12:22:38.000Z","Masih.

Pengen banget. Masih.

""LU KAGAK TAU KAH SEMBAKO NAIK, PPN 12% MANA PERNAH MIKIR LU?!!!!""

Sering juga pengen nampol nih org kagak guna banget di MV SJ kagak pernah nyanyi, di music show juga jarang keliatan lu member apaan sih?","0","0","0","214","[]","[]","https://x.com/masi_gui/status/1905234002988142922","tweet_id:1905234002988142922","['@cicibercuit', '@kdrama_menfess']"
"-lyn","@arz_71","2025-03-27T12:07:30.000Z","Aku buat naskah dramus adaptasi beauty and the beast buat dipake sekolahku, aku sengaja kasih dialog yg sindir ppn 12% di naskah itu (dg persetujuan guru PIC). Jelas, naskahnya di modif lagi biar lebih highschool friendly. Pas kemarin noton, EH MALAH DIPERJELAS WKWKW","1","0","0","102","[]","[]","https://x.com/arz_71/status/1905230193138311632","tweet_id:1905230193138311632","[]"
"Grok","@grok","2025-03-27T09:05:31.000Z","   jawab:  keliatannya aktivis warga yg lawan kebijakan pemerintah Indo kayak naik PPN 12% & revisi UU TNI. Kampanye  mereka sorot dampak buruk kebijakan ini. Bukan afiliasi organisasi tertentu, tapi gerakan rakyat buat kepentingan publik.","2","0","1","85","[]","['@nolualu', '@barengwarga', '@grok', '@barengwarga']","https://x.com/grok/status/1905184395008278830","tweet_id:1905184395008278830","['@nolualu', '@barengwarga', '@FDonghun']"
"GEREJA CATHOLIC","@GEREJA_CATHOLIC","2025-03-27T08:18:23.000Z","Kata  Indonesia Bubar Tahun 2030.

Rupiah Hancur, PPN 12%, ditambah Pajak 100% dari Amerika Serikat untuk Indonesia.

Komunis China adalah Setan Penghancur Nusantara.

Indonesia berteman dengan Komunis China hasilnya adalah Kebodohan dan Kemiskinan Selamanya.","0","0","0","191","[]","['@prabowo']","https://x.com/GEREJA_CATHOLIC/status/1905172534653571330","tweet_id:1905172534653571330","['@GuruGembull']"
"stopbeingmean","@afazzimah","2025-03-27T07:35:30.000Z","Tolak MBG
Tolak PPN 12%
Tolak Danantara
Tolak RUU TNI
Tolak RUU Polri

kapan yah hashtag Tolak Prabowo Gibran muncul ","0","0","0","173","[]","[]","https://x.com/afazzimah/status/1905161741413310864","tweet_id:1905161741413310864","[]"
"reii","@rainyreiiz39","2025-03-27T07:25:32.000Z","wah kemaren sempet mikir gitu sih, apalagi masyarakat kita tuh gampang bgt ke distract sama kasus² drama beginian kemaren drama nikmir sama Lolly barengan juga sama wacana PPN 12%, jadi jangan sampe kasus bank BJB terlupakan well kawal terus","0","0","1","1.1K","[]","[]","https://x.com/rainyreiiz39/status/1905159237388411023","tweet_id:1905159237388411023","['@terpamungkas']"
"Qais","@si4riNew","2025-03-27T01:47:56.000Z","UU Pilkada, didemo, batalPPN 12% didemo, batal
sekarang UU TNI dan bentar lagi UU Polri
Dari pada capek2 tiap sebentar demo, kenapa ga biang kerok masalahnya aja yang sekalian disingkirkan?","0","0","1","195","[]","[]","https://x.com/si4riNew/status/1905074275016658997","tweet_id:1905074275016658997","['@tham878']"
"hanabi .plena","@hanabi867","2025-03-26T21:07:57.000Z","Investor itu butuh kepastian, contoh ppn 12 % kemarin diubah cuma semalam, lha sapa tau kebijakan laenya juga gonta-ganti kan jadi susah prediksi kedepannya","0","0","3","571","[]","[]","https://x.com/hanabi867/status/1905003815054807131","tweet_id:1905003815054807131","['@pulupulumiaw', '@StefanAntonio__']"
"Mozuki | Jasa komik","@mozukic","2025-03-26T16:03:30.000Z","Daripada PPN 12% mending Potocki 10%","0","5","61","3.9K","[]","[]","https://x.com/mozukic/status/1904927196877410727","tweet_id:1904927196877410727","['@wibukalcer']"
"jennifer.","@kwakamitomie","2025-03-26T15:43:13.000Z","bahaya bgt menkeu liat trs dijadiin landasan buat naikin lagi ppn 12%. Msalahnya tu di sini pajak segitu aja gk tau ngalirnya ke mana, layanan publik jg ga bagus2 amat. Nah, dinaikin? di era rezim gblok ini? nah bro ","0","0","1","1.3K","[]","[]","https://x.com/kwakamitomie/status/1904922095286706274","tweet_id:1904922095286706274","['@AntoniusCDN', '@GM_Warrios', '@JhonSitorus_18', '@alamtegarrrr', '@abdimuda_id', '@Mata_Netizen62', '@Anak__Ogi', '@dcristnugroho', '@ch_chotimah2', '@2TRafiS1', '@Cintada16', '@HumorJonTampan']"
"Galencia⁷","@peachyxsugar","2025-03-26T15:33:13.000Z","dari sebelum ppn 12% gue mau ikut, anjir. tapi masalahnya gue ga ada temen yg dikenal mau kesana","0","0","0","34","[]","[]","https://x.com/peachyxsugar/status/1904919578964353535","tweet_id:1904919578964353535","['@peachyxsugar']"
"𝑹𝒂𝒓𝒂","@kiyowosodoun","2025-03-26T14:16:12.000Z","Eh tolol mahasiswa demo juga buat memperjuangkan hak-hak lo sebagai warga negara indonesia ya anjir, lo pikir ppn 12% kemaren batal gara-gara siapa kalo bukan karena mahasiswa? Justru kalo mahasiswa pada demo tuh bagus, itu artinya alarm demokrasi kita masih hidup!!!","0","0","0","81","[]","[]","https://x.com/kiyowosodoun/status/1904900195915358487","tweet_id:1904900195915358487","[]"
"mangOsteen","@mangOsteen_pop","2025-03-26T12:33:43.000Z","Siappp!!! Pengeluaran harus LEBIH teliti, klo ada PPN 12% pindah ke tempat lain ","0","0","0","29","[]","[]","https://x.com/mangOsteen_pop/status/1904874403017687211","tweet_id:1904874403017687211","['@DS_yantie']"
"Yeyeb","@yuandayb","2025-03-26T10:55:01.000Z","Negara lu potong pajak sampai PPN 12%, PPh sampai 25% tiap bulan. Islam hanya wajibkan zakat sekali setahun, itupun hanya 2,5% dari harta yg tersimpan selama setahun (berarti harta yg disimpan & ga dimanfaatkan untuk hidup). Jadi siapa yg lebih kiri? Siapa yg lebih ""komunis""?","1","0","9","166","[]","[]","https://x.com/yuandayb/status/1904849563766440326","tweet_id:1904849563766440326","['@exconstellation', '@HeyIndonesian']"
"NIADI.net","@niadi_net","2025-03-26T09:08:20.000Z","PPN 12 Persen Berlaku, Harga Mobil Baru Diprediksi Naik Signifikan lensapion.com/2024/12/03/ppn
…","0","0","0","65","[]","[]","https://x.com/niadi_net/status/1904822718064988352","tweet_id:1904822718064988352","[]"
"ℿℽ☉⋐☉╬⋒ℼ","@kabian76","2025-03-26T06:26:21.000Z","Kita gak pernah tahu brp pajak yg diterapkan pemerintah utk ojek daring ini apa juga pake ppn 12% ? Kalo kita dpt potongan 20% berarti 8% keuntungan perusahaan blm dipotong operasional dll. Kalau pemerintah bnr2 peduli dgn driver harusnya potongan ke aplikator jgn 12%","0","0","0","784","[]","[]","https://x.com/kabian76/status/1904781954987548888","tweet_id:1904781954987548888","['@Mdy_Asmara1701']"
"Name cannot be blank","@enujstr","2025-03-26T03:33:58.000Z"," saya dapat dokumen yg dipersamakan dengan faktur pajak, belum ada di prepopulated, apa bisa diinput manual ya? Cara inputnya menggunakan kode 04, dpp nilai lain dan ppn 12% dari dpp nilai lain?","1","0","0","268","[]","['@kring_pajak']","https://x.com/enujstr/status/1904738572454027365","tweet_id:1904738572454027365","[]"
"reinʕ •ᴥ•ʔ","@nattanoraa","2025-03-25T23:47:12.000Z","Karen aku baru mempelajari dan mengikuti isue negara tahun ini, demo yg ga berakhir ricuh itu kamisan, demo indonesia darurat, sama demo kenaikan ppn 12% tp ttp saja diolok2 fomo.","0","0","0","82","[]","[]","https://x.com/nattanoraa/status/1904681503105441897","tweet_id:1904681503105441897","['@mfs_ub']"
"anaknya lilis","@rickyadamp","2025-03-25T23:13:46.000Z","efek ppn 12%, paket kuota cuman 28hr","1","0","0","49","[]","[]","https://x.com/rickyadamp/status/1904673088274653345","tweet_id:1904673088274653345","['@CareIM3', '@YunusMuham2252']"
".,","@mycloudshy","2025-03-25T22:04:58.000Z","Jadi polanya sama kayak ppn 12% ini tu ya? Lempar kebijakan/situasi yg bikin masyarakat resah, setelah banyak protes, kebijakannya diubah, narasinya diubah, masyarakat yg protes di salahkan. Pemerintah muncul dengan narasi seolah olah Pahlawan. Licik banget sumpah","0","0","0","123","[]","[]","https://x.com/mycloudshy/status/1904655775185986021","tweet_id:1904655775185986021","[]"
"hison's daughter","@matnaetic","2025-03-25T15:45:01.000Z","sekuat ini solidaritas kita ya by ily 29000 dipotong ppn 12%","1","0","0","47","[]","[]","https://x.com/matnaetic/status/1904560159730638956","tweet_id:1904560159730638956","['@ImosyenelOrenji']"
"happy.me1","@happyme119","2025-03-25T15:22:30.000Z","ya karna memang gak segawat itu kok skarang lbih percaya mana pendpat para ahli atau orang random yg bicara bukan kpasitas  keahliannya, nyatanya yg rame cuma di x doang, sama kyak gorengan pnghentian kipk, ppn 12% , sma sri mulyani mundur itu cuma hoax x aja","0","0","0","182","[]","[]","https://x.com/happyme119/status/1904554491451724007","tweet_id:1904554491451724007","['@semesta_han', '@drlrst']"
"marsu","@abelii_i","2025-03-25T14:32:56.000Z","Padahal demo ini berdampak loh, at least tiga demo terakhir kayak uu pilkada, ppn, sama uu tni, kalo gaada yg demo, lolos itu yg mau ubah ambang batas usia cakada (niatnya mau ubah biar si bungsu bisa nyalon di pilkada, kayak kakaknya yg berhasil lewat mk), ppn 12% berlaku","1","0","0","112","[]","[]","https://x.com/abelii_i/status/1904542019885920642","tweet_id:1904542019885920642","[]"
"Bimbingan Skripsi","@JadwalBimbingan","2025-03-25T14:28:27.000Z","Gmpang nder. Tuh kalau PPN 12 ga didemo bakalan ga turun tuh.","0","0","0","29","[]","[]","https://x.com/JadwalBimbingan/status/1904540888472469521","tweet_id:1904540888472469521","['@azzlyzaa']"
"sachii","@itsachia","2025-03-25T14:00:33.000Z","ka jawab ini trs tambahin:

gunanya demo itu utk nekan kebijakan yg ga pro rakyat. kalo ga didemo, tapera, ppn 12%, itu bakal diteken kak. jadi kita sbg rakyat butuh menekan pejabat publik & itu ga cukup cuma lewat debat lah aspirasi lah. emang demo itu perlu.","0","4","93","4.3K","[]","[]","https://x.com/itsachia/status/1904533867018813947","tweet_id:1904533867018813947","['@azzlyzaa', '@tidaklvcv']"
"carockroro","@carockroro","2025-03-25T12:47:28.000Z","tuh iqro. gosah sok elit antum","1","0","0","25","[]","[]","https://x.com/carockroro/status/1904515474693685749","tweet_id:1904515474693685749","['@valen92677', '@TongTji789', '@toe_giman']"
"Dust II","@ambitvious","2025-03-25T11:33:03.000Z","koar2ku nggak percuma kok kak. aku bantu nge-up tolak RUU TNI, ada poin yang diubah sama pemerintah. aku bantu nge-up penolakan PPn 12%, ditanggepin juga.

soalnya aku bergerak bareng2 sama yang lain.

gerak satu-satu emang susah, tp kalo barengan, semua jadi mudah.","1","0","0","59","[]","[]","https://x.com/ambitvious/status/1904496749936570663","tweet_id:1904496749936570663","['@emilmarioo', '@strawberrysasea', '@iniakunsapasi']"
"tapsite.ai","@tapsiteai","2025-03-25T06:35:04.000Z","berarti lebih menguntungkan cara islam

1. ga ada PPN, PPh, cuma cukup bayar zakat mal 2.5%.
2. Tidak ada pajak/zakat untuk badan, object zakat itu individu.
3. Non Muslim Bayar Jizyah 1-4 dinar (Maks 4 Dinar) 

Negara kapitalis : 
1. Pajak Badan 22%, Pajak Pribadi 35%, PPN 12%.","1","0","1","253","[]","[]","https://x.com/tapsiteai/status/1904421758213796346","tweet_id:1904421758213796346","['@ikhwanuddin']"
"ZÆD","@makimaisdead","2025-03-25T06:31:42.000Z"," min beli mobil sigra termasuk FP 01 PPN 12% kah? FP 01 ini apakah untuk semua kendaraan?","1","0","0","133","[]","['@kring_pajak']","https://x.com/makimaisdead/status/1904420910834344280","tweet_id:1904420910834344280","[]"
"LX","@OakenStakee","2025-03-25T05:51:06.000Z","Btw, ada beberapa temen gue yg mengakui pilihannya salah ketika kasus fufufafa viral, coretax nyusahin, ppn 12%, MBG bikin keracunan dll. Mereka masih punya akal sehat. Emang kampanye pilpres 02 tuh bikin brainrot njir.","0","0","0","149","[]","[]","https://x.com/OakenStakee/status/1904410695296512044","tweet_id:1904410695296512044","['@handthatfeed5', '@OakenStakee']"
"ci","@ellemindu","2025-03-25T05:03:37.000Z","Di tendor mahal ugha yaa... kena ppn 12% apa","1","0","0","97","[]","[]","https://x.com/ellemindu/status/1904398743480496630","tweet_id:1904398743480496630","[]"
"Abi Royyan","@mandaro_alam","2025-03-25T05:03:11.000Z","Waaah, udahlah PPn 12%, kena lagi pajak daerah 10%?? Edaaaaan ini pemdq DKI ","0","1","2","113","[]","[]","https://x.com/mandaro_alam/status/1904398636899033299","tweet_id:1904398636899033299","['@KangSemproel']"
"cucu abah sulhan","@Sulhan04","2025-03-25T04:44:05.000Z","Setuju. Intinya di 𝐊𝐄𝐏𝐀𝐒𝐓𝐈𝐀𝐍 𝐇𝐔𝐊𝐔𝐌 
Dg kepastian hukum, yg mungut pungli bisa dihukum, ormas2 yg tukang palak juga bisa dibasmi. 
Lah sekarang hukum dan peraturan bisa diganti dalam itungan menit, sangat merugikan investor. Contoh yg pas ya PPN 12% ","0","0","19","944","[]","[]","https://x.com/Sulhan04/status/1904393830595527147","tweet_id:1904393830595527147","['@convomf', '@AyenBukanOyen']"
"nadeeee","@nlavishly","2025-03-25T04:33:18.000Z","demo ppn 12% kmrn diroasting abis-abisan sm mahasiswa, gara-gara beliau beralasan sakit. dan ternyata terulang lagi demo ruu tni ","0","0","0","105","[]","[]","https://x.com/nlavishly/status/1904391117325623508","tweet_id:1904391117325623508","['@fafasa_', '@tanyakanrl']"
"abel","@kuromigosong","2025-03-25T01:08:34.000Z","dia aja pas skandal korupsi triliunan, kelangkaan gas, masifnya PHK buruh, PPN 12% ga pernah speak up. giliran rakyat pada marah aja langsung dijilatin itu pantat rezim sampe bilang anarkis, ga beradab. tapi tetep aja tutup mata pas aparat yang anarkis.","1","0","0","96","[]","[]","https://x.com/kuromigosong/status/1904339592821850263","tweet_id:1904339592821850263","['@kuromigosong']"
"Andreas Abdianto","@AndreasAbdianto","2025-03-24T22:48:10.000Z","Kebijakan pemerintah yg baru ini brutal, disektor tambang royalti naik, diskon tiket penerbangan yg akhirnya maskapai rugi, PPN 12% untuk barang mewah dan ekspor yg membuat turunnya nilai ekspor. Dan APBN tetep defisit dg banyak pungutan.","0","0","0","84","[]","[]","https://x.com/AndreasAbdianto/status/1904304260042657985","tweet_id:1904304260042657985","['@hemaviton99', '@STresnowati1', '@prabowo']"
"skillseakers","@lahudza","2025-03-24T21:35:32.000Z","keributan yang pecah dari kemarin sampai hari ini bukan cuma soal R/UU TNI, tapi lebih ke luapan kekecewaan atas 5 bulan pertama pemerintahan Prabsky:

•IHGS anjlok
•MBG bermasalah
•PPN 12%
•korupsi di BUMN
•efisiensi -> PHK
•rupiah melemah
•banjir","0","0","1","243","[]","[]","https://x.com/lahudza/status/1904285979810345423","tweet_id:1904285979810345423","[]"
"Chandratamaa","@blank_chand","2025-03-24T13:03:26.000Z","Karena memang kebanyakan di wilayah sini penjual tanaman hias. Awal awal pertengahan bulan orderan ramai lancar alhamdulillah. Tapi hingga akhir tahun sampe awal bulan di 2025 mulai kerasa orderan menurun karena waktu itu penaikkan PPN 12% sehingga kebanyakan orang saving money","0","0","0","34","[]","[]","https://x.com/blank_chand/status/1904157105348890829","tweet_id:1904157105348890829","['@blank_chand']"
"bamyu","@choibamgyu","2025-03-24T12:20:04.000Z","Aku masih ga nyangka ternyata aku cukup aktif untuk menyuarakan apa yg ada di Indonesia, walaupun enggak di akun ini. Dari Indonesia gelap background biru, lalu background hitam, dan tolak PPN 12%. Jadi aku mau lbih aktif disini karena followers aku disini juga cukup lumayan bnyk","0","0","0","47","[]","[]","https://x.com/choibamgyu/status/1904146193510441418","tweet_id:1904146193510441418","[]"
"Amelia","@amelcewaw","2025-03-24T08:59:46.000Z","Mulyono deui waw.Ppn 12% hanya utk barang mewah.
Taik ledigh kabeh naeeeeek.
Klo naik minta balik ke penjualnya, gk asu tuh?
1 juta ktnya, dg 50 rebu teh jauhna ge ka cirebon 7 tanjakan deui peaaaak hadeueueuh kieu kieu teuing nguciwakeunna ka rakjel nya?","0","0","8","884","[]","[]","https://x.com/amelcewaw/status/1904095785089691803","tweet_id:1904095785089691803","['@tempodotco']"
"Prod SUGA","@GiftedMinpda","2025-03-24T06:30:05.000Z","Gaperlu berandai2 krna pernah disituasi yg sama. Lupa kah pas kejadian y0ongi kmrin juga bertepatan sama kasus ppn 12%? Tapi mereka tetap spread hate, gaada tuh yg inget negaranya mau ancur tapi tetap ngeributin ngeributin idol bukan negaranya","1","0","11","200","[]","[]","https://x.com/GiftedMinpda/status/1904058118885007845","tweet_id:1904058118885007845","['@11769am', '@YogiCubarsi']"
"Berita Nasional","@NasionalBerita_","2025-03-24T06:00:01.000Z","Ketua MPR Pastikan PPN 12 Tidak Berlaku Untuk Kesehatan#beritanasional #mpr #ppn #kesehatan","0","0","0","74","['#beritanasional', '#mpr', '#ppn', '#kesehatan']","[]","https://x.com/NasionalBerita_/status/1904050550468972849","tweet_id:1904050550468972849","[]"
"#PajakKitaUntukKita","@kring_pajak","2025-03-24T05:52:49.000Z","Hai, Kak.
Apakah yang ditanyakan untuk tarif PPN penyerahan BKP barang mewah?
Saat ini kode FP 01 hanya untuk transaksi penyerahan barang mewah dengan tarif PPN 12% dr harga jual ya.

Berdasarkan PMK 131 Tahun 2024, atas penyerahan Barang Non Mewah maka DPPnya menggunakan Nilai","0","0","0","118","[]","[]","https://x.com/kring_pajak/status/1904048740790673785","tweet_id:1904048740790673785","['@Kresnawati15']"
"Usagi hidup ngojoll","@jinxyuann","2025-03-24T04:39:23.000Z","Orde baru gak kayak dulu njing kalo yang mau orde baru masa lalunya serba murah dan berkecukupan, guess what GA KITA GA BAKAL NAIK SECARA EKONOMI, IHSG TURUN, PPN 12% EFISIENSI DLL?!","0","4","70","868","[]","[]","https://x.com/jinxyuann/status/1904030258204152075","tweet_id:1904030258204152075","['@convomf']"
